metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
iterations,1722883183,1.000000,,,,,,,,,default,,,,,,,
data_sent,1722883183,72.000000,,,,,,,,,default,,,,,,,
data_received,1722883183,2310.000000,,,,,,,,,default,,,,,,,
iteration_duration,1722883183,1024.141100,,,,,,,,,default,,,,,,,
iterations,1722883183,1.000000,,,,,,,,,default,,,,,,,
data_sent,1722883183,72.000000,,,,,,,,,default,,,,,,,
data_received,1722883183,2310.000000,,,,,,,,,default,,,,,,,
iteration_duration,1722883183,1024.141100,,,,,,,,,default,,,,,,,
iterations,1722883183,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1722883183,1.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_duration,1722883183,9.328800,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_blocked,1722883183,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_connecting,1722883183,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_tls_handshaking,1722883183,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_sending,1722883183,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
